dacpac	sp_name	regex_sources	regex_targets	regex_exec	edge_count
customer	CONSUMPTION_FINANCE.spLoadDimAccountDetailsSAP	[consumption_finance].[dimaccountdetailssap],[staging_finance_file].[sap_template_incomestatement],[staging_finance_file].[sap_template_incomestatement_raw]	[consumption_finance].[dimaccountdetailssap],[staging_finance_file].[sap_template_incomestatement]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_FINANCE.spLoadDimActuality	[consumption_finance].[dimactuality],[staging_finance_cognos].[t_actuality_filter]	[consumption_finance].[dimactuality]	[dbo].[logmessage],[dbo].[splastrowcount]	3
customer	CONSUMPTION_FINANCE.spLoadDimCompany	[consumption_finance].[dimcompany],[consumption_finance].[dimcountry],[staging_finance_cognos].[t_company_filter]	[consumption_finance].[dimcompany]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_FINANCE.spLoadDimConsType	[consumption_finance].[dimconstype],[staging_finance_cognos].[t_constype_filter]	[consumption_finance].[dimconstype]	[dbo].[logmessage],[dbo].[splastrowcount]	3
customer	CONSUMPTION_FINANCE.spLoadDimCurrency	[consumption_finance].[dimcurrency],[staging_finance_cognos].[t_currency_filter]	[consumption_finance].[dimcurrency]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_FINANCE.spLoadDimCustomers	[consumption_finance].[sap_sales_details_metrics],[consumption_finance].[sap_sales_summary_metrics]	[consumption_finance].[dimcustomers]	[dbo].[logmessage]	5
customer	CONSUMPTION_FINANCE.spLoadDimCustomersProjects	[consumption_finance].[dimcustomers],[consumption_finance].[dimprojects],[consumption_finance].[sap_sales_summary_metrics]	[consumption_finance].[dimcustomersprojects]	[dbo].[logmessage]	6
customer	CONSUMPTION_FINANCE.spLoadDimDepartment	[consumption_finance].[dimdepartment],[staging_finance_file].[departments],[staging_finance_file].[departments_raw]	[consumption_finance].[dimdepartment],[staging_finance_file].[departments]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_FINANCE.spLoadDimPosition	[consumption_finance].[dimposition],[staging_finance_file].[positions],[staging_finance_file].[positions_raw]	[consumption_finance].[dimposition],[staging_finance_file].[positions]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_FINANCE.spLoadDimProjects	[consumption_finance].[sap_sales_summary_metrics]	[consumption_finance].[dimprojects]	[dbo].[logmessage]	4
customer	CONSUMPTION_FINANCE.spLoadDimTables	-	-	[consumption_finance].[sploaddimaccount],[consumption_finance].[sploaddimaccountdetailscognos],[consumption_finance].[sploaddimaccountdetailssap],[consumption_finance].[sploaddimactuality],[consumption_finance].[sploaddimcompany],[consumption_finance].[sploaddimcompanykoncern],[consumption_finance].[sploaddimconstype],[consumption_finance].[sploaddimcurrency],[consumption_finance].[sploaddimdepartment],[consumption_finance].[sploaddimposition]	9
customer	CONSUMPTION_FINANCE.spLoadFact_SAP_Sales_Details	[consumption_finance].[dimcustomers],[consumption_finance].[dimcustomersprojects],[consumption_finance].[dimprojects],[consumption_finance].[sap_sales_details_metrics],[dbo].[dimdate]	[consumption_finance].[fact_sap_sales_details]	[dbo].[logmessage]	8
customer	CONSUMPTION_FINANCE.spLoadFact_SAP_Sales_Summary	[consumption_finance].[dimcustomers],[consumption_finance].[dimcustomersprojects],[consumption_finance].[dimprojects],[consumption_finance].[sap_sales_summary_metrics],[dbo].[dimdate]	[consumption_finance].[fact_sap_sales_summary]	[dbo].[logmessage]	8
customer	CONSUMPTION_FINANCE.spLoadFactAgingSAP	[consumption_finance].[dimcompany],[consumption_finance].[dimdatefinance],[consumption_finance].[factagingsap],[staging_finance_sap].[zfiv_dwh_aging]	[consumption_finance].[factagingsap]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_FINANCE.spLoadFactGLCOGNOS	[consumption_finance].[dimaccount],[consumption_finance].[dimaccountdetailscognos],[consumption_finance].[dimactuality],[consumption_finance].[dimcompany],[consumption_finance].[dimconstype],[consumption_finance].[dimcurrency],[consumption_finance].[dimdepartment],[consumption_finance].[dimmonthfinance],[consumption_finance].[dimposition],[consumption_finance].[factglcognos],[consumption_finance].[glcognosdata]	[consumption_finance].[factglcognos]	[dbo].[logmessage],[dbo].[splastrowcount]	11
customer	CONSUMPTION_FINANCE.spLoadFactGLSAP	[consumption_finance].[dimaccountdetailssap],[consumption_finance].[dimcompany],[consumption_finance].[dimcurrency],[consumption_finance].[dimdepartment],[consumption_finance].[dimmonthfinance],[consumption_finance].[factglsap],[consumption_finance].[sap_powerbi_fact]	[consumption_finance].[factglsap]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_FINANCE.spLoadFactLaborCostForEarnedValue	[consumption_finance].[factlaborcostforearnedvalue],[consumption_finance].[vfactlaborcost],[consumption_prima].[hrdepartments],[consumption_prima].[hrdepartmenttofinancesalsysmap]	[consumption_finance].[factlaborcostforearnedvalue]	[dbo].[logmessage],[dbo].[splastrowcount]	3
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesInterestSummary	[consumption_finance].[dimcustomers],[consumption_finance].[sap_sales_interest_summary_metrics],[dbo].[dimdate]	[consumption_finance].[factsapsalesinterestsummary]	[dbo].[logmessage]	6
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesRetainerDetails	[consumption_finance].[dimcustomers],[consumption_finance].[dimcustomersprojects],[consumption_finance].[dimprojects],[consumption_finance].[factsapsalesretainerdetails],[consumption_finance].[sap_sales_retainer_details_metrics],[dbo].[dimdate]	[consumption_finance].[factsapsalesretainerdetails]	[dbo].[logmessage],[dbo].[splastrowcount]	10
